promedio_global,materias_reprobadas,edad,apoyo_familiar,minutos_traslado,horas_estudio,horas_trabajo,horas_sueno,frecuencia_IA,escuela,genero,dependientes_economicos,personas_a_cargo,apoyos_economicos,foraneo,validacion_encuesta,enfermedad_cronica,satisfaccion_carrera,ejercer_carrera
8.4,1.0,20,4,120.0,1.0,0.0,5.0,1,0,1,0,1,1,0,2,0,2,2
8.4,2.0,27,3,40.0,3.0,4.0,6.0,2,8,0,0,2,1,1,2,0,2,2
7.7,7.0,24,4,90.0,1.0,0.0,6.0,3,0,1,0,1,1,0,2,0,0,2
8.0,3.0,24,5,60.0,5.0,0.0,5.0,1,8,1,0,1,1,1,2,0,2,2
8.2,3.0,22,1,60.0,3.0,4.0,5.0,1,8,2,1,2,1,1,2,0,2,2
8.7,1.0,23,5,60.0,120.0,0.0,6.0,3,8,0,0,1,1,0,2,0,2,2
8.6,1.0,23,5,90.0,2.0,0.0,5.0,3,8,1,0,1,0,0,2,0,2,2
9.1,0.0,25,4,100.0,8.0,0.0,7.0,1,4,1,0,1,1,0,2,0,2,1
7.6,4.0,20,5,90.0,2.0,3.0,5.0,1,2,0,0,1,0,0,2,0,2,2
8.1,1.0,19,4,30.0,5.0,0.0,7.0,3,2,0,0,1,1,0,2,0,2,2
8.0,3.0,20,5,90.0,5.0,0.0,8.0,4,1,1,0,1,1,0,2,0,2,2
8.3,1.0,22,5,90.0,2.0,0.0,6.0,3,1,1,0,1,1,0,2,0,2,1
9.2,2.0,21,4,90.0,3.0,0.0,6.0,3,1,0,0,1,0,0,2,1,2,2
7.6,6.0,22,4,90.0,3.0,10.0,3.0,3,1,0,0,2,1,0,2,0,2,2
7.8,4.0,23,4,90.0,3.0,0.0,4.0,3,0,0,0,1,1,0,2,0,2,2
7.4,7.0,20,2,120.0,2.0,3.0,4.0,4,2,1,0,1,1,0,2,0,2,2
7.7,8.0,24,1,150.0,2.0,8.0,6.0,4,2,1,0,1,1,1,2,0,2,2
8.3,2.0,20,5,120.0,1.0,0.0,4.0,3,8,0,1,2,1,1,2,0,0,1
6.1,2.0,19,3,120.0,1.0,4.0,5.0,3,3,0,0,2,1,1,2,1,0,2
7.4,2.0,20,5,120.0,2.0,16.0,5.0,3,3,1,0,1,1,1,2,0,2,2
7.8,0.0,19,5,125.0,3.0,0.0,6.0,3,3,1,1,1,0,0,2,0,2,2
5.4,3.0,19,5,30.0,3.0,0.0,5.0,3,3,0,0,1,1,0,2,0,2,2
